,Unnamed: 0,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,amenities,bedrooms,beds,price,review_scores_value,review_scores_location,review_scores_rating,shared_bath,private_bath
952,952,1,1.1,43.76552,11.2539,0,0,6,0.18813529725063968,2.0,2.0,136.0,5.0,5.0,4.0,0.0,1.0
953,953,1,1.0,43.76616,11.27728,8,2,1,0.21323785538939735,1.0,1.0,78.0,4.97,4.97,4.97,1.0,0.0
954,954,1,1.1,43.78332,11.24502,3,2,2,0.6348259270895911,6.0,6.0,116.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,6.0
955,955,1,1.1,43.78742,11.23075,0,0,2,0.20165130238813675,1.0,2.0,54.0,5.0,5.0,5.0,0.0,1.0
956,956,1,1.0,43.76913,11.2795,0,0,4,0.20390637924302196,1.0,2.0,75.0,4.83,4.67,4.94,0.0,1.0
957,957,1,1.4,43.78995,11.24281,4,2,2,0.29269916142850594,1.0,2.0,71.0,5.0,4.74,4.95,0.0,1.0
958,958,1,1.1,43.7837,11.2284,0,0,3,0.18224263901966253,1.0,1.0,130.0,4.67,4.67,5.0,0.0,1.0
959,959,1,1.4,43.78637,11.25036,13,0,2,0.19194338336586894,1.0,1.0,79.0,4.46,4.28,4.49,0.0,1.0
960,960,1,1.4,43.78623,11.25381,0,0,2,0.18974410605585026,1.0,1.0,60.0,4.56,4.5,4.69,0.0,1.0
961,961,1,1.4,43.7963,11.24355,9,2,3,0.3563317035922606,1.0,2.0,157.0,4.71,4.29,4.86,0.0,1.0
962,962,1,1.0,43.76779,11.27913,13,0,4,0.2088532812572904,1.0,1.0,100.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
963,963,1,1.4,43.78474,11.24973,2,0,3,0.21731204759828152,1.0,2.0,123.0,4.75,4.88,4.9,0.0,1.0
964,964,1,1.1,43.78101,11.25513,0,0,3,0.2266239603502912,1.0,2.0,130.0,4.91,4.87,4.92,0.0,2.0
965,965,1,1.1,43.78518,11.23139,0,0,1,0.17267460932444298,1.0,1.0,61.0,4.74,4.68,4.84,0.0,1.0
966,966,1,1.0,43.77069,11.27713,0,0,4,0.4448300718979066,1.0,2.0,140.0,4.23,4.66,4.51,0.0,1.0
967,967,1,1.4,43.79592,11.24493,0,0,6,0.28979747333876044,2.0,4.0,150.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,3.0
968,968,1,1.1,43.78208,11.2538,2,0,4,0.8300766855938712,1.0,2.0,113.0,4.0,5.0,4.25,0.0,1.0
969,969,1,1.1,43.77216,11.26031,6,0,2,0.44939405275152067,1.0,1.0,80.0,4.55,4.64,4.55,0.0,1.0
970,970,1,1.1,43.76414272503291,11.246003791503522,3,2,2,0.5804818906500148,2.0,2.0,95.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,2.0
971,971,1,1.0,43.78335,11.26306,22,2,2,0.21538306020545905,1.0,1.0,66.0,4.59,4.59,4.63,0.0,1.0
972,972,1,1.1,43.77152,11.25872,0,0,4,0.2250290219486537,1.0,1.0,100.0,4.96,5.0,4.96,0.0,1.0
